Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,week,time,unscathed,killed,hospital,light
201600000856,16,9,26,2130,3,1,1,7,4821610,139203,3,2,2,0,1,1,0,0,1,0,1,99,104,1,21.0,524,53,361,334
201600000902,16,2,8,1600,1,6,1,3,4765749,208435,3,2,2,2,0,0,0,0,0,5,1,99,113,1,16.0,2068,218,1271,1571
201600000918,16,2,3,630,3,1,1,7,4797721,183790,3,2,2,0,1,2,0,79,1,0,3,99,167,3,6.0,862,76,510,708
201600000950,16,1,30,430,3,1,8,6,4810856,152620,2,3,4,0,1,1,10,70,1,0,3,99,135,6,4.0,825,80,539,654
201600000972,16,5,12,1245,1,6,1,6,4846797,250688,4,2,2,0,1,3,0,93,1,5,1,0,155,4,12.0,1838,163,1128,1408
201600001156,16,10,24,300,3,1,5,6,4826829,361674,3,2,2,0,2,1,57,92,2,5,3,99,157,1,3.0,211,32,135,149
201600001164,16,5,22,430,3,1,2,6,4812322,396689,4,2,2,0,0,2,0,60,2,0,3,0,135,7,4.0,676,87,567,566
201600001298,16,1,26,615,3,1,2,6,4787055,221456,4,2,0,0,1,0,0,40,2,0,3,99,114,2,6.0,291,37,231,194
201600001389,16,8,23,1545,1,1,1,1,4922370,61361,3,2,2,0,1,3,0,53,1,0,1,99,126,2,15.0,1721,176,1134,1330
201600001495,16,3,22,2230,3,1,1,1,4896120,104665,3,2,2,0,1,2,0,0,2,0,1,0,120,2,22.0,480,65,294,319
201600001781,16,11,12,345,3,1,1,6,4860425,63902,3,2,2,0,2,2,0,70,1,0,3,99,173,6,3.0,562,57,446,391
201600002074,16,2,20,2345,3,1,2,6,4736077,8930,3,2,0,0,1,1,90,90,2,0,1,0,116,6,23.0,1089,131,815,742
201500000139,15,8,4,115,5,1,1,6,5009775,354198,3,2,2,0,1,3,0,68,1,0,4,99,116,2,1.0,159,18,130,113
201500000185,15,4,14,30,3,1,1,7,5029773,386243,3,2,0,0,1,3,0,47,1,0,3,0,117,2,0.0,216,24,108,170
201500000205,15,10,16,415,3,1,2,6,5010210,289122,3,2,2,0,0,1,0,72,2,0,3,0,142,5,4.0,834,83,520,609
201500000225,15,5,13,930,1,1,1,5,5029934,288737,3,2,2,0,3,1,0,60,1,2,1,0,116,3,9.0,723,68,434,523
201500000234,15,3,28,815,1,1,1,7,5029031,295981,3,2,2,0,0,1,0,70,1,0,1,0,109,6,8.0,795,113,630,649
201500000262,15,8,7,600,1,1,1,7,5070174,182125,3,2,2,0,2,1,0,60,0,0,3,0,146,5,6.0,841,100,575,603
201500000267,15,10,22,745,2,3,1,1,5081283,160611,3,2,2,0,1,1,0,64,2,0,1,3,102,4,7.0,1868,207,1265,1284
201500000271,15,4,6,2200,3,1,1,6,5041914,268400,4,2,2,0,2,0,0,50,1,0,1,99,88,1,22.0,662,65,422,536
201500000274,15,9,13,2300,4,1,2,3,5043883,265640,3,3,4,0,1,1,30,140,2,0,1,0,106,7,23.0,408,70,381,354
201500000283,15,1,30,145,3,1,1,6,5056563,162163,3,2,2,0,0,0,0,0,0,0,0,0,128,5,1.0,201,25,138,161
201500000326,15,6,1,1930,1,1,1,6,5028194,251549,3,2,2,0,0,2,0,73,1,0,3,0,101,1,19.0,1443,195,933,1089
201500000440,15,9,5,100,5,1,1,6,4940927,213559,4,2,2,0,1,3,0,0,1,0,4,99,96,6,1.0,625,89,504,468
201500000485,15,4,20,1000,1,9,9,5,4932324,244442,3,2,2,0,3,1,0,63,0,5,1,99,97,1,10.0,1771,189,1150,1374
201500000528,15,3,12,2030,5,1,1,6,4920022,257842,4,1,0,0,1,1,0,0,1,0,1,0,84,4,20.0,866,81,546,599
201500000539,15,9,26,700,2,1,1,1,4922813,222668,3,2,3,0,1,1,0,0,1,0,1,99,153,6,7.0,346,42,238,269
201500000650,15,1,19,2315,3,1,1,7,4991068,161433,3,2,2,0,4,1,0,0,1,0,1,99,124,1,23.0,332,32,225,263
201500001012,15,3,10,200,3,1,1,6,4845083,275215,3,3,0,0,1,1,11,80,1,0,1,0,62,2,2.0,116,17,59,91
201400000084,14,8,15,330,5,1,1,6,5094600,337200,3,2,0,0,1,3,10,70,1,0,1,99,68,5,3.0,119,27,151,90
201400000242,14,10,12,2215,3,1,3,7,5067755,180438,3,2,2,0,2,1,0,68,2,0,1,0,68,7,22.0,205,39,221,149
201400000277,14,11,6,245,3,1,1,6,5083317,202828,3,2,2,0,0,2,80,85,2,0,3,99,97,4,2.0,294,24,203,219
201400000540,14,6,18,15,5,1,1,6,4945027,96473,3,2,2,0,1,1,0,60,1,0,3,0,87,3,0.0,255,29,181,201
201400000663,14,10,20,100,5,1,1,6,4966127,134657,4,2,2,0,2,1,0,50,1,0,4,0,73,1,1.0,90,9,58,88
201400001460,14,7,28,215,3,2,1,3,4874980,152896,3,2,2,0,3,1,0,0,1,5,1,99,81,1,2.0,182,16,154,167
201400001479,14,2,20,545,3,2,2,1,4958620,172222,3,3,2,0,3,1,431,40,2,5,1,99,79,4,5.0,535,61,302,467
201400001988,14,3,7,545,3,3,1,3,4749644,77428,3,2,2,0,1,1,0,70,1,5,1,99,83,5,5.0,263,31,222,184
201400002382,14,12,1,510,3,1,1,7,4689196,203633,4,2,2,0,1,1,0,40,1,0,3,99,71,1,5.0,359,51,191,330
201300000116,13,11,1,45,5,1,1,6,5008512,348444,3,2,2,0,1,1,0,70,1,0,1,99,73,5,0.0,180,35,140,122
201300000165,13,12,21,2215,3,1,1,7,5031711,405307,3,2,2,0,1,2,0,52,2,0,0,99,76,6,22.0,1185,149,860,857
201300000624,13,12,31,415,5,1,2,6,4953026,48948,3,2,2,0,0,1,0,0,2,0,3,99,55,2,4.0,57,2,29,24
201300001017,13,7,18,330,5,1,1,6,4863493,227048,4,2,2,0,1,2,0,50,1,0,1,99,106,4,3.0,182,18,136,102
201200001186,12,8,23,115,3,1,1,6,4788146,412695,3,2,2,0,1,1,0,0,1,0,1,99,132,4,1.0,163,23,161,84
201200001291,12,10,8,45,3,1,2,6,4781798,280879,3,1,1,0,1,3,0,25,2,0,4,0,178,1,0.0,177,16,134,174
201100001186,11,6,1,315,3,1,1,6,4956980,30453,3,2,2,0,1,1,55,55,1,0,3,0,158,3,3.0,183,25,120,120
