Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,unscathed,killed,hospital,light,week,time
201600000129,16,2,7,615,5,1,2,6,5007517,368177,3,2,0,0,1,3,25,69,2,5,1,99,100,65,3,35,62,7,6.0
201600000133,16,6,20,1500,1,1,3,6,5013195,340272,3,2,0,0,1,1,0,0,2,0,1,99,150,112,12,58,80,1,15.0
201600000154,16,2,11,645,2,1,1,7,5026700,316400,3,2,2,0,1,1,0,0,1,0,1,3,128,95,10,36,82,4,6.0
201600000155,16,7,2,1400,1,1,1,6,5026763,322428,3,2,0,0,1,2,60,0,1,0,4,0,140,94,10,59,71,6,14.0
201600000156,16,8,28,2000,2,1,1,3,5028800,312600,3,2,0,0,2,1,0,65,1,0,1,3,135,67,8,60,67,7,20.0
201600000157,16,12,17,2100,5,1,2,1,5027000,321100,4,2,0,0,1,1,0,55,2,0,1,3,158,121,8,67,83,6,21.0
201600000158,16,12,21,500,3,6,1,7,5031200,313000,3,3,2,0,1,1,0,0,2,5,1,99,135,89,7,38,90,3,5.0
201600000159,16,12,27,1015,1,6,1,3,5030900,320800,3,2,2,0,1,1,0,0,1,5,1,3,148,102,6,52,90,2,10.0
201600000161,16,7,9,2100,1,1,1,2,5049400,340000,3,0,1,0,1,1,0,0,1,0,1,99,168,116,14,71,83,6,21.0
201600000175,16,3,17,1945,3,1,1,5,5030514,377363,3,3,2,0,3,1,0,73,1,0,1,0,132,107,10,44,78,4,19.0
