Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
200600072719,6,11,28,1700,3,1,1,2,4,448,4895000,310200,770,2,2,2,0,2,1,40,160,2,5,1,0,0
200600072721,6,11,26,1745,3,1,1,1,3,486,4869000,310300,770,3,2,2,0,1,2,0,70,1,5,1,0,0
200600072722,6,11,25,1045,1,1,1,2,1,60,4830300,242300,770,2,2,2,0,1,1,0,76,2,0,1,0,1
200600072723,6,11,15,845,1,1,4,1,1,99,4815000,271000,770,3,2,0,0,1,2,0,0,2,0,1,0,0
200600072724,6,11,14,1715,1,1,2,1,3,71,4820000,279300,770,3,2,2,0,0,1,0,0,2,0,1,0,0
200600072725,6,11,17,1130,1,1,1,1,6,370,4824800,276800,770,4,2,0,0,1,2,0,0,2,0,3,0,0
200600072726,6,11,9,1130,1,1,1,1,1,283,4913200,304900,770,3,2,2,0,2,4,0,65,8,0,1,0,1
200600072727,6,11,26,1245,1,2,1,1,6,483,4900800,254800,770,3,2,2,0,1,1,0,69,1,5,1,0,0
200600072729,6,11,20,1945,5,2,1,2,1,32,4870500,324700,770,2,2,2,0,1,1,0,80,2,0,1,0,1
200600072730,6,11,16,630,3,1,1,1,5,46,4797600,177400,450,3,2,2,0,1,1,0,73,1,0,1,0,1
200600072731,6,11,22,1900,5,1,1,8,6,248,4805500,170400,450,3,2,2,0,0,1,0,60,2,0,3,0,0
200600072734,6,11,2,1315,1,2,1,1,3,98,4782900,176100,450,3,2,0,0,1,1,0,54,1,0,1,0,0
200600072741,6,11,7,1430,1,1,1,1,3,53,4762300,275300,450,4,2,2,0,1,1,0,52,1,0,1,0,0
200600072742,6,11,15,1930,3,1,1,2,6,245,4769700,279200,450,3,2,0,0,0,2,0,40,2,0,3,0,0
